"device_id","parent_id","company_id","device_uuid","device_type_id","device_type","device_os","carrier_name","mcc","mnc","n_mcc","n_mnc","s_mcc","s_mnc","r_mcc","r_mnc","language","latest_post","device_secret","create_date","cpu_info","cpu_max_speed"
"1989708","46264",2,"c3c9c147-d7ce-4c86-bb75-237422f37b50",559,"samsung SM-N900V",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2015-11-14 19:38:57","","2015-04-15 11:46:13","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 0;;Hardware : Qualcomm MSM8974;Revision : 0008;Serial  : 000011b20000b475;","2265600"
"2206612","NULL",16,"d0b3a3aa-7dfd-4200-9193-2ad5c73decd7",732,"samsung SM-N900T",19,"T-Mobile",310,260,"310","260","310","260","310","260","English","2015-10-23 06:09:20","","2015-04-25 11:24:59","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 0;;Hardware : Qualcomm MSM 8974 (Flattened Device Tree);Revision : 0008;Serial  : 0000270b00004f9e;","2265600"
"2509846","451365",11,"9fd9e323-82d0-46a8-b290-e68f0ffe329c",125,"samsung SCH-I545",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-03-23 21:47:28","","2015-05-23 14:06:42","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;processor : 2;BogoMIPS : 13.53;;processor : 3;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x06f;CPU revision : 0;;Hardware : SAMSUNG JF;Revision : 000b;Serial  : 0000930c00008509;","1890000"
"2528392","2381380",11,"23e43246-dc42-4667-9913-59b3d792fbad",125,"samsung SCH-I545",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-04-01 18:12:09","","2015-05-25 20:58:19","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;processor : 2;BogoMIPS : 13.53;;processor : 3;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x06f;CPU revision : 0;;Hardware : SAMSUNG JF;Revision : 000b;Serial  : 0000559300007567;","1890000"
"2539956","NULL",11,"37d4176a-c37d-41b6-ab30-d53008e167df",106,"LGE Nexus 4",22,"T-Mobile",310,260,"310","260","310","260","310","260","English","2016-03-12 04:55:16","","2015-05-27 09:12:51","Processor : ARMv7 Processor rev 2 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;processor : 2;BogoMIPS : 13.53;;processor : 3;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x0;CPU part : 0x06f;CPU revision : 2;;Hardware : QCT APQ8064 MAKO;Revision : 000b;Serial  : 0000000000000000;","1512000"
"2560259","NULL",16,"1edff834-8394-40f6-a9db-9c3d5caf4a99",125,"samsung SCH-I545",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-05-09 16:17:26","","2015-05-29 21:13:45","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;processor : 2;BogoMIPS : 13.53;;processor : 3;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x06f;CPU revision : 0;;Hardware : SAMSUNG JF;Revision : 000b;Serial  : 0000591c0000c329;","1890000"
"2223631","NULL",2,"e519f409-b450-4b4a-bb42-7ed8b9360371",2134,"HTC HTC6525LVW",21,"Verizon Wireless",310,7,"310","7","311","480","311","480","English","2015-12-04 03:42:06","","2015-04-26 19:16:18","Processor : ARMv7 Processor rev 1 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 1;;Hardware : Qualcomm MSM8974PRO-AB;Revision : 0000;Serial  : 0000000000000000;","2265600"
"2230897","NULL",11,"01c0db32-8faf-4876-aa0d-60ef5be74723",3350,"motorola XT897",16,"Sprint",310,120,"310","120","310","120","310","120","English","2016-05-09 09:02:26","","2015-04-27 11:18:08","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x04d;CPU revision : 0;;Hardware : msm8960dt;Revision : 82b0;Serial  : 0001000201662df8;","1512000"
"2232401","392154",11,"49efbcac-9116-4088-8708-78b34fd0a5fc",572,"samsung SM-N900P",21,"Sprint",310,120,"310","120","310","120","310","120","English","2016-05-09 20:30:22","","2015-04-27 13:46:19","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 0;;Hardware : Qualcomm MSM8974;Revision : 0008;Serial  : 0000d1860000baf7;","2265600"
"2235070","NULL",16,"b0892bef-37b0-4b50-ba24-acda1b37af88",92,"HTC HTC One",19,"T-Mobile",310,260,"310","260","310","260","310","260","English","2016-03-06 02:29:51","","2015-04-27 18:41:27","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.52;;processor : 1;BogoMIPS : 13.52;;processor : 2;BogoMIPS : 13.52;;processor : 3;BogoMIPS : 13.52;;Features : swp half thumb fastmult vfp edsp thumbee neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x06f;CPU revision : 0;;Hardware : UNKNOWN;Revision : 0003;Serial  : 0000000000000000;","1728000"
